element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Hg	2	"94.2630"	"0.0005"	"94.26313"	"0.00010"	"200000"	"1.6e+09"	"4.3e-01"		"0.000"	"106086.013"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"		"T7226"	"L11760"	
Hg	1	"94.445"	"0.007"	"94.445"	"0.007"	"20H"	""	""		"0.000"	"105882"	"5d10.6s2"	"1S"	"0"	"5d9.6s2.(2D<5/2>).7p"	"2[3/2]*"	"1"		""	"L15166c86"	
Hg	2	"96.2711"	"0.0005"	"96.27113"	"0.00010"	"250000"	"2.0e+09"	"2.8e-01"		"0.000"	"103873.302"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"		"T7226"	"L11760"	
Hg	2	"96.9142"	"0.0005"	"96.91437"	"0.00010"	"250000"	"6.8e+08"	"1.9e-01"		"0.000"	"103183.874"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"		"T7226"	"L11760"	
Hg	3	"98.889"	"0.010"	""	""	"1"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	3	"100.929"	"0.010"	""	""	"2"	""	""		""	""	""	""	""	""	""	""		""	"L3332"	
Hg	2	"102.2965"	"0.0005"	"102.29666"	"0.00010"	"50"	"1.0e+06"	"2.1e-04"		"35514.624"	"133269.525"	"5d9.6s2"	"2D"	"5/2"	"5d10.6f"	"2F*"	"7/2"		"T7226"	"L11760"	
Hg	2	"102.7570"	"0.0005"	"102.75713"	"0.00010"	"100"	"1.6e+08"	"3.8e-02"		"60608.362"	"157925.207"	"5d10.6p"	"2P*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<2>)"	"5/2"		"T7226"	"L11760"	
Hg	2	"102.9908"	"0.0005"	"102.99109"	"0.00010"	"6000"	"1.2e+05"	"3.8e-05"		"0.000"	"97095.774"	"5d10.6s"	"2S"	"1/2"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"		"T7226"	"L11760"	
Hg	2	"103.3737"	"0.0005"	"103.37370"	"0.00010"	"25"	"8.2e+06"	"2.6e-03"		"51486.070"	"148222.473"	"5d10.6p"	"2P*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"3/2"		"T7226"	"L11760"	
