element	sp_num	obs_wl_vac(nm)	unc_obs_wl	ritz_wl_vac(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Na	10	""	""	"3.81953"	"0.00003"	""	"1.89e+09"	"1.38e-04"	A	"(9088735.1)"	"(11706856)"	"1s.2p"	"1P*"	"1"	"1s.10s"	"1S"	"0"		"T5231c64"	""	
Na	10	""	""	"3.82023"	"0.00003"	""	"1.20e+10"	"7.89e-03"	A	"(9028021.4)"	"(11645667)"	"1s.2s"	"1S"	"0"	"1s.8p"	"1P*"	"1"		"T5231c64"	""	
Na	10	""	""	"3.85768"	"0.00003"	""	"2.61e+09"	"1.94e-04"	A	"(9088735.1)"	"(11680966)"	"1s.2p"	"1P*"	"1"	"1s.9s"	"1S"	"0"		"T5231c64"	""	
Na	10	""	""	"3.88347"	"0.00003"	""	"2.97e+10"	"1.12e-02"	A	"(8935368.6)"	"(11510387)"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"3.88347"	"0.00003"	""	"2.97e+10"	"6.72e-03"	A	"(8935368.6)"	"(11510387)"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.88347"	"0.00003"	""	"2.97e+10"	"2.24e-03"	A	"(8935368.6)"	"(11510387)"	"1s.2s"	"3S"	"1"	"1s.6p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"3.89453"	"0.00003"	""	"6.52e+08"	"4.45e-04"	A	"(9022385.5)"	"(11590091)"	"1s.2p"	"3P*"	"0"	"1s.7s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.89532"	"0.00003"	""	"1.96e+09"	"4.45e-04"	A	"(9022908.5)"	"(11590091)"	"1s.2p"	"3P*"	"1"	"1s.7s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.89829"	"0.00003"	""	"1.79e+10"	"1.22e-02"	A	"(9028021.4)"	"(11593248)"	"1s.2s"	"1S"	"0"	"1s.7p"	"1P*"	"1"		"T5231c64"	""	
Na	10	""	""	"3.89898"	"0.00003"	""	"3.25e+09"	"4.45e-04"	A	"(9025315.7)"	"(11590091)"	"1s.2p"	"3P*"	"2"	"1s.7s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"3.91234"	"0.00003"	""	"3.73e+09"	"2.85e-04"	A	"(9088735.1)"	"(11644747)"	"1s.2p"	"1P*"	"1"	"1s.8s"	"1S"	"0"		"T5231c64"	""	
Na	10	""	""	"3.99498"	"0.00003"	""	"5.60e+09"	"4.47e-04"	A	"(9088735.1)"	"(11591874)"	"1s.2p"	"1P*"	"1"	"1s.7s"	"1S"	"0"		"T5231c64"	""	
Na	11	""	""	"4.0065710"	"0.0000010"	""	"2.53e+11"	"1.22e-01"		"(9971484.9)"	"(12467384.762)"	"2p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"4.0069366"	"0.0000010"	""	"1.42e+11"	"6.84e-02"		"(9971713.8)"	"(12467385.92)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"4.0076026"	"0.0000010"	""	"1.26e+10"	"3.03e-03"		"(9971484.9)"	"(12466742.32)"	"2p"	"2P*"	"1/2"	"4s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"4.0080168"	"0.0000010"	""	"1.42e+11"	"3.42e-02"		"(9971713.8)"	"(12466713.33)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"		"T7771"	"L3620"	
Na	11	""	""	"4.01486686"	"0.00000010"	""	"3.02e+11"	"1.09e-01"		"(9976865.74)"	"(12467608.357)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"		"T7771"	"L3620"	
Na	11	""	""	"4.01522731"	"0.00000010"	""	"5.03e+10"	"1.22e-02"		"(9976865.74)"	"(12467384.762)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"3/2"		"T7771"	"L3620"	
Na	11	""	""	"4.01626333"	"0.00000010"	""	"2.56e+10"	"3.10e-03"		"(9976865.74)"	"(12466742.32)"	"2p"	"2P*"	"3/2"	"4s"	"2S"	"1/2"		"T7771"	"L3620"	
Na	10	""	""	"4.01668"	"0.00003"	""	"3.07e+10"	"2.23e-02"	A	"(9022385.5)"	"(11512003)"	"1s.2p"	"3P*"	"0"	"1s.6d"	"3D"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.01753"	"0.00003"	""	"4.14e+10"	"1.67e-02"	A	"(9022908.5)"	"(11512003)"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"4.01753"	"0.00003"	""	"2.30e+10"	"5.56e-03"	A	"(9022908.5)"	"(11512003)"	"1s.2p"	"3P*"	"1"	"1s.6d"	"3D"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.02141"	"0.00003"	""	"1.53e+09"	"2.22e-04"	A	"(9025315.7)"	"(11512003)"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.02141"	"0.00003"	""	"5.51e+10"	"1.87e-02"	A	"(9025315.7)"	"(11512003)"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"3"		"T5231c64,LS"	""	
Na	10	""	""	"4.02141"	"0.00003"	""	"1.37e+10"	"3.33e-03"	A	"(9025315.7)"	"(11512003)"	"1s.2p"	"3P*"	"2"	"1s.6d"	"3D"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"4.02401"	"0.00003"	""	"1.05e+09"	"7.63e-04"	A	"(9022385.5)"	"(11507469)"	"1s.2p"	"3P*"	"0"	"1s.6s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.02486"	"0.00003"	""	"3.14e+09"	"7.63e-04"	A	"(9022908.5)"	"(11507469)"	"1s.2p"	"3P*"	"1"	"1s.6s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.02498"	"0.00003"	""	"2.84e+10"	"2.07e-02"	A	"(9028021.4)"	"(11512505)"	"1s.2s"	"1S"	"0"	"1s.6p"	"1P*"	"1"		"T5231c64"	""	
Na	10	""	""	"4.02876"	"0.00003"	""	"5.22e+09"	"7.62e-04"	A	"(9025315.7)"	"(11507469)"	"1s.2p"	"3P*"	"2"	"1s.6s"	"3S"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.09893"	"0.00003"	""	"5.12e+10"	"2.15e-02"	A	"(8935368.6)"	"(11375032)"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"4.09918"	"0.00003"	""	"5.12e+10"	"1.29e-02"	A	"(8935368.6)"	"(11374879)"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.09925"	"0.00003"	""	"5.13e+10"	"4.31e-03"	A	"(8935368.6)"	"(11374842)"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"0"		"T5231c64,LS"	""	
Na	10	""	""	"4.12643"	"0.00003"	""	"4.96e+10"	"2.11e-02"	A	"(9088735.1)"	"(11512137)"	"1s.2p"	"1P*"	"1"	"1s.6d"	"1D"	"2"		"T5231c64"	""	
Na	10	""	""	"4.12953"	"0.00003"	""	"8.97e+09"	"7.64e-04"	A	"(9088735.1)"	"(11510320)"	"1s.2p"	"1P*"	"1"	"1s.6s"	"1S"	"0"		"T5231c64"	""	
Na	10	""	""	"4.24560"	"0.00004"	""	"5.60e+10"	"4.54e-02"	A	"(9022385.5)"	"(11377767)"	"1s.2p"	"3P*"	"0"	"1s.5d"	"3D"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.24654"	"0.00004"	""	"7.55e+10"	"3.40e-02"	A	"(9022908.5)"	"(11377767)"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"4.24654"	"0.00004"	""	"4.18e+10"	"1.13e-02"	A	"(9022908.5)"	"(11377767)"	"1s.2p"	"3P*"	"1"	"1s.5d"	"3D"	"1"		"T5231c64,LS"	""	
Na	10	""	""	"4.25089"	"0.00004"	""	"2.51e+10"	"6.80e-03"	A	"(9025315.7)"	"(11377767)"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"2"		"T5231c64,LS"	""	
Na	10	""	""	"4.25089"	"0.00004"	""	"2.79e+09"	"4.53e-04"	A	"(9025315.7)"	"(11377767)"	"1s.2p"	"3P*"	"2"	"1s.5d"	"3D"	"1"		"T5231c64,LS"	""	
